Shortest Distance to Surfaces Surfaces=Surfaces 1,Intensity Sum Ch=2 Img=2,Channel,Image,ID,Surpass Object,Surpass Object Data ID
-9.14,4.55e4,2,Image 2,321,All AuNP,200001
-5.49,4.22e4,2,Image 2,322,All AuNP,200001
-4.4,6.95e4,2,Image 2,323,All AuNP,200001
-14.7,2.33e5,2,Image 2,324,All AuNP,200001
-7.73,5.99e4,2,Image 2,325,All AuNP,200001
38.7,6.42e4,2,Image 2,326,All AuNP,200001
-1.28,3.89e5,2,Image 2,327,All AuNP,200001
-6.94,4.89e4,2,Image 2,328,All AuNP,200001
-5.12,9.98e4,2,Image 2,329,All AuNP,200001
-10.5,6.97e4,2,Image 2,330,All AuNP,200001
-13.3,5.85e4,2,Image 2,331,All AuNP,200001
-15.1,1.05e5,2,Image 2,332,All AuNP,200001
-11.8,1.82e5,2,Image 2,333,All AuNP,200001
-13.4,1.67e5,2,Image 2,334,All AuNP,200001
-0.0787,9.82e4,2,Image 2,335,All AuNP,200001
-12.9,1.09e5,2,Image 2,336,All AuNP,200001
-1.36,2.21e5,2,Image 2,337,All AuNP,200001
-14.6,3.00e5,2,Image 2,338,All AuNP,200001
-15.5,3.99e4,2,Image 2,339,All AuNP,200001
-10.6,6.39e4,2,Image 2,340,All AuNP,200001
-0.529,4.79e4,2,Image 2,341,All AuNP,200001
-4.44,2.64e5,2,Image 2,342,All AuNP,200001
-15.7,1.26e5,2,Image 2,343,All AuNP,200001
-17.3,1.11e5,2,Image 2,344,All AuNP,200001
-16,7.53e4,2,Image 2,345,All AuNP,200001
-15.4,1.36e5,2,Image 2,346,All AuNP,200001
-18.3,1.27e5,2,Image 2,347,All AuNP,200001
-19.7,1.80e5,2,Image 2,348,All AuNP,200001
-7.73,7.01e4,2,Image 2,349,All AuNP,200001
-1.75,7.83e4,2,Image 2,350,All AuNP,200001
42.7,3.76e4,2,Image 2,351,All AuNP,200001
-12.6,5.38e4,2,Image 2,352,All AuNP,200001
-9.11,2.28e6,2,Image 2,353,All AuNP,200001
-10.6,6.02e4,2,Image 2,354,All AuNP,200001
-3.65,9.91e4,2,Image 2,355,All AuNP,200001
-10.2,5.20e4,2,Image 2,356,All AuNP,200001
-1.85,1.13e5,2,Image 2,357,All AuNP,200001
-14.4,3.81e4,2,Image 2,358,All AuNP,200001
-14.6,1.04e5,2,Image 2,359,All AuNP,200001
-6.59,8.61e4,2,Image 2,360,All AuNP,200001
-19.3,2.63e5,2,Image 2,361,All AuNP,200001
-11,5.74e4,2,Image 2,362,All AuNP,200001
-13.1,7.11e4,2,Image 2,363,All AuNP,200001
-19.5,4.57e4,2,Image 2,364,All AuNP,200001
-9.99,1.50e5,2,Image 2,365,All AuNP,200001
-9.65,8.50e4,2,Image 2,366,All AuNP,200001
-7.88,8.16e4,2,Image 2,367,All AuNP,200001
-24.3,1.45e5,2,Image 2,368,All AuNP,200001
-25.4,8.40e4,2,Image 2,369,All AuNP,200001
-8.1,9.80e4,2,Image 2,370,All AuNP,200001
-10.4,7.24e4,2,Image 2,371,All AuNP,200001
-5.11,3.62e4,2,Image 2,372,All AuNP,200001
-1.46,5.62e4,2,Image 2,373,All AuNP,200001
-10.6,7.29e4,2,Image 2,374,All AuNP,200001
-15.7,1.30e5,2,Image 2,375,All AuNP,200001
-2.26,7.64e4,2,Image 2,376,All AuNP,200001
-9.43,5.30e4,2,Image 2,377,All AuNP,200001
-10,7.80e4,2,Image 2,378,All AuNP,200001
-5.22,1.48e5,2,Image 2,379,All AuNP,200001
-3.13,5.06e4,2,Image 2,380,All AuNP,200001
-18.6,6.89e4,2,Image 2,381,All AuNP,200001
-12.3,7.33e4,2,Image 2,382,All AuNP,200001
-18.8,5.10e4,2,Image 2,383,All AuNP,200001
-20.6,1.48e5,2,Image 2,384,All AuNP,200001
-18,4.40e4,2,Image 2,385,All AuNP,200001
-18.6,9.45e4,2,Image 2,386,All AuNP,200001
-15.4,5.21e4,2,Image 2,387,All AuNP,200001
-14.5,6.25e4,2,Image 2,388,All AuNP,200001
-16.3,6.30e4,2,Image 2,389,All AuNP,200001
-5.6,6.18e4,2,Image 2,390,All AuNP,200001
-0.951,7.02e4,2,Image 2,391,All AuNP,200001
-10.2,1.30e5,2,Image 2,392,All AuNP,200001
-13.6,4.58e4,2,Image 2,393,All AuNP,200001
-6.47,3.96e4,2,Image 2,394,All AuNP,200001
-9.15,4.64e4,2,Image 2,395,All AuNP,200001
-9.26,3.09e5,2,Image 2,396,All AuNP,200001
50,5.37e4,2,Image 2,397,All AuNP,200001
-7.62,8.82e5,2,Image 2,398,All AuNP,200001
-1.31,3.99e4,2,Image 2,399,All AuNP,200001
-14.2,5.40e4,2,Image 2,400,All AuNP,200001
-4.37,8.33e4,2,Image 2,401,All AuNP,200001
-5.09,1.15e5,2,Image 2,402,All AuNP,200001
-15,6.61e4,2,Image 2,403,All AuNP,200001
-1.7,5.71e4,2,Image 2,404,All AuNP,200001
-9.52,6.94e4,2,Image 2,405,All AuNP,200001
-0.32,1.26e5,2,Image 2,406,All AuNP,200001
-10.5,5.70e4,2,Image 2,407,All AuNP,200001
-10.6,9.10e4,2,Image 2,408,All AuNP,200001
-8.42,4.34e4,2,Image 2,409,All AuNP,200001
-11.6,3.76e4,2,Image 2,410,All AuNP,200001
-10.9,2.07e5,2,Image 2,411,All AuNP,200001
-7.32,9.95e4,2,Image 2,412,All AuNP,200001
-10.2,1.15e5,2,Image 2,413,All AuNP,200001
